Iteration,Attack_Success,Attack_Total,Flee_Success,Flee_Total,Predators_Killed,Predators_Total,Previous_Survival_Time,Survival_Time,Success,Score,
19,15,22,1,1,6,6,0,288,1,1.893939,
18,15,20,0,0,6,6,288,655,1,1.403053,
17,5,6,0,0,2,6,655,687,0,0.6885816,
16,15,20,0,1,6,6,687,987,1,1.406028,
15,15,20,2,2,6,6,987,1137,1,1.795734,
14,15,20,2,2,6,6,1137,1499,1,1.695297,
13,15,19,0,0,6,6,1499,1963,1,1.710039,
12,15,20,2,2,6,6,1963,2367,1,1.76021,
11,15,20,0,0,6,6,2367,2587,1,1.838713,
10,5,6,0,0,1,6,2587,2610,0,0.6607918,
9,15,21,0,2,6,6,2610,2888,1,1.516423,
8,10,13,2,2,3,6,2888,2999,0,0.7284138,
7,15,20,2,2,6,6,2999,3153,1,1.871894,
6,15,20,1,1,6,6,3153,3399,1,1.850324,
5,15,20,0,0,6,6,3399,3673,1,1.848285,
4,15,19,3,3,6,6,3673,4240,1,1.805482,
3,15,20,2,2,6,6,4240,4605,1,1.84401,
2,15,20,0,0,6,6,4605,4898,1,1.861831,
1,15,20,0,0,6,6,4898,5121,1,1.876749,
0,15,21,0,0,6,6,5121,5553,1,1.834375,
