Iteration,Attack_Success,Attack_Total,Flee_Success,Flee_Total,Predators_Killed,Predators_Total,Previous_Survival_Time,Survival_Time,Success,Score,
19,15,27,0,1,6,6,0,235,1,1.518518,
18,15,50,2,10,6,6,235,1028,1,1.1143,
17,15,17,0,2,6,6,1028,1362,1,1.473583,
16,14,17,0,1,5,6,1362,1666,0,0.45151,
15,15,15,0,0,6,6,1666,1949,1,1.854797,
14,7,8,0,2,3,6,1949,2051,0,0.4355396,
13,15,20,1,6,6,6,2051,2358,1,1.555709,
12,4,4,0,0,2,6,2358,2424,0,0.7566007,
11,15,18,0,5,6,6,2424,2952,1,1.501807,
10,14,16,0,5,5,6,2952,3374,0,0.4982217,
9,15,15,1,3,6,6,3374,3863,1,1.679322,
8,15,16,0,3,6,6,3863,4444,1,1.561398,
7,6,10,0,0,2,6,4444,4707,0,0.6084366,
6,15,17,0,1,6,6,4707,5135,1,1.575153,
5,9,9,0,2,3,6,5135,5188,0,0.4948921,
4,6,6,0,0,3,6,5188,5254,0,0.8228651,
3,14,15,0,2,5,6,5254,5461,0,0.5665669,
2,15,20,0,2,6,6,5461,5656,1,1.563222,
1,15,26,0,0,6,6,5656,5844,1,1.831341,
0,15,16,0,0,6,6,5844,6007,1,1.952597,
