Iteration,Attack_Success,Attack_Total,Flee_Success,Flee_Total,Predators_Killed,Predators_Total,Previous_Survival_Time,Survival_Time,Success,Score,
19,4,4,2,2,2,6,0,255,0,0.7777778,
18,4,4,1,2,2,6,255,387,0,0.4026701,
17,3,3,1,1,1,6,387,475,0,0.588421,
16,5,5,0,0,2,6,475,563,0,0.6562068,
15,15,15,0,0,6,6,563,895,1,1.62905,
14,8,8,1,1,2,6,895,1187,0,0.5864457,
13,1,1,3,3,0,6,1187,1292,0,0.9187307,
12,6,6,2,2,3,6,1292,1487,0,0.7240529,
11,2,2,0,0,1,6,1487,1603,0,0.6699591,
10,2,2,0,0,1,6,1603,1684,0,0.6874835,
9,2,2,1,1,1,6,1684,1741,0,0.6985768,
8,9,9,2,2,3,6,1741,1942,0,0.7470821,
7,6,6,0,0,2,6,1942,2059,0,0.7335815,
6,2,2,1,1,1,6,2059,2375,0,0.6261287,
5,8,8,1,1,3,6,2375,2482,0,0.797408,
4,2,2,3,3,1,6,2482,2687,0,0.6671215,
3,8,8,1,1,4,6,2687,2776,0,0.8603907,
2,8,9,3,3,4,6,2776,3289,0,0.7189847,
1,7,7,1,1,2,6,3289,3414,0,0.7493002,
0,0,0,1,1,0,6,3414,3456,0,0.9878472,
