Iteration,Attack_Success,Attack_Total,Flee_Success,Flee_Total,Predators_Killed,Predators_Total,Previous_Survival_Time,Survival_Time,Success,Score,
19,15,21,0,0,6,6,0,215,1,1.904762,
18,15,20,0,0,6,6,215,680,1,1.289828,
17,15,20,0,0,6,6,680,1092,1,1.570818,
16,6,7,0,0,2,6,1092,1176,0,0.6780045,
15,15,20,0,0,6,6,1176,1492,1,1.72252,
14,15,21,0,0,6,6,1492,2142,1,1.630208,
13,6,8,0,0,2,6,2142,2291,0,0.6492798,
12,14,18,0,0,5,6,2291,2656,0,0.75076,
11,15,20,0,0,6,6,2656,3059,1,1.795903,
10,15,21,0,0,6,6,3059,3283,1,1.84303,
9,15,20,0,0,6,6,3283,3566,1,1.84392,
8,15,21,0,0,6,6,3566,4204,1,1.767455,
7,15,20,0,0,6,6,4204,4629,1,1.832505,
6,15,17,0,0,6,6,4629,4936,1,1.901027,
5,15,23,0,0,6,6,4936,5447,1,1.801122,
4,13,18,0,0,5,6,5447,5678,0,0.8171957,
3,15,20,0,0,6,6,5678,5840,1,1.891239,
2,15,20,0,0,6,6,5840,6142,1,1.871594,
1,15,20,0,0,6,6,6142,6442,1,1.873978,
0,1,1,0,0,0,6,6442,6478,0,0.9944427,
