Iteration,Attack_Success,Attack_Total,Flee_Success,Flee_Total,Predators_Killed,Predators_Total,Previous_Survival_Time,Survival_Time,Success,Score,
19,15,21,4,4,6,6,0,289,1,1.904762,
18,15,19,0,0,6,6,289,542,1,1.495792,
17,6,8,0,0,3,6,542,583,0,0.6972556,
16,15,20,2,3,6,6,583,952,1,1.493318,
15,15,22,1,1,6,6,952,1162,1,1.732384,
14,15,20,0,0,6,6,1162,1497,1,1.711534,
13,15,20,2,2,6,6,1497,1995,1,1.687845,
12,15,22,0,0,6,6,1995,2166,1,1.823365,
11,15,20,2,2,6,6,2166,2428,1,1.817751,
10,15,20,0,0,6,6,2428,2678,1,1.831093,
9,15,20,2,2,6,6,2678,2875,1,1.853855,
8,15,20,2,2,6,6,2875,3132,1,1.841449,
7,9,12,0,0,3,6,3132,3336,0,0.7041367,
6,15,20,2,2,6,6,3336,3622,1,1.844285,
5,15,20,0,0,6,6,3622,3761,1,1.882788,
4,15,19,2,2,6,6,3761,3988,1,1.876898,
3,15,20,2,2,6,6,3988,4338,1,1.842708,
2,15,22,0,0,6,6,4338,4522,1,1.857565,
1,1,1,0,0,0,6,4522,4536,0,0.9969136,
0,15,20,2,2,6,6,4536,4722,1,1.880559,
