Iteration,Attack_Success,Attack_Total,Flee_Success,Flee_Total,Predators_Killed,Predators_Total,Previous_Survival_Time,Survival_Time,Success,Score,
19,4,4,0,0,2,6,0,369,0,0.7777778,
18,7,7,2,3,3,6,369,524,0,0.5085878,
17,2,2,0,0,1,6,524,606,0,0.6244958,
16,4,4,0,0,2,6,606,677,0,0.6962088,
15,11,11,5,7,4,6,677,1302,0,0.412674,
14,3,3,2,2,1,6,1302,1563,0,0.6016208,
13,1,1,1,1,0,6,1563,1668,0,0.9370503,
12,10,10,2,2,4,6,1668,1875,0,0.7907556,
11,10,10,1,1,4,6,1875,2042,0,0.8161933,
10,12,12,3,4,5,6,2042,2413,0,0.7287148,
9,6,6,0,1,3,6,2413,2504,0,0.4818291,
8,10,10,0,0,4,6,2504,2764,0,0.8052742,
7,12,12,1,1,5,6,2764,3703,0,0.7049539,
6,9,9,0,0,4,6,3703,3887,0,0.8468113,
5,3,3,0,0,1,6,3887,3976,0,0.7060558,
4,10,10,0,0,4,6,3976,4105,0,0.8609555,
3,4,4,1,1,2,6,4105,4281,0,0.7458019,
2,8,8,0,0,3,6,4281,4403,0,0.810243,
1,15,15,1,1,6,6,4403,4912,1,1.896376,
0,14,14,1,1,5,6,4912,5353,0,0.8666376,
