Iteration,Attack_Success,Attack_Total,Flee_Success,Flee_Total,Predators_Killed,Predators_Total,Previous_Survival_Time,Survival_Time,Success,Score,
19,2,2,0,0,1,6,0,21,0,0.7222222,
18,15,48,0,7,6,6,21,472,1,1.019465,
17,2,3,0,0,0,6,472,496,0,0.8458781,
16,9,10,0,0,4,6,496,823,0,0.5156204,
15,15,15,0,0,6,6,823,1022,1,1.805284,
14,15,16,0,1,6,6,1022,1487,1,1.443875,
13,15,16,0,1,6,6,1487,1650,1,1.582033,
12,14,17,0,1,5,6,1650,1957,0,0.4656487,
11,15,18,0,1,6,6,1957,2347,1,1.509563,
10,14,23,0,0,5,6,2347,2687,0,0.7110088,
9,7,8,0,0,3,6,2687,2808,0,0.7575528,
8,5,5,0,0,2,6,2808,2850,0,0.7663158,
7,14,15,0,0,5,6,2850,3725,0,0.7055928,
6,15,19,1,5,6,6,3725,4221,1,1.585232,
5,15,17,0,1,6,6,4221,4500,1,1.588549,
4,7,8,0,0,2,6,4500,4672,0,0.7090111,
3,15,17,1,2,6,6,4672,5011,1,1.740395,
2,15,15,0,0,6,6,5011,5146,1,1.973766,
1,4,4,0,0,2,6,5146,5204,0,0.7691092,
0,15,15,0,1,6,6,5204,5708,1,1.607802,
