"","A","B","C"
"1",288,0,288
"2",655,288,367
"3",687,655,32
"4",987,687,300
"5",1137,987,150
"6",1499,1137,362
"7",1963,1499,464
"8",2367,1963,404
"9",2587,2367,220
"10",2610,2587,23
"11",2888,2610,278
"12",2999,2888,111
"13",3153,2999,154
"14",3399,3153,246
"15",3673,3399,274
"16",4240,3673,567
"17",4605,4240,365
"18",4898,4605,293
"19",5121,4898,223
"20",5553,5121,432
