Iteration,Simulation #1,Simulation #2,Simulation #3
1,6,6,6
2,6,6,6
3,3,2,4
4,6,6,1
5,6,6,6
6,6,6,6
7,6,6,6
8,6,6,6
9,6,6,6
10,6,1,6
11,6,6,0
12,6,3,2
13,3,6,5
14,6,6,3
15,6,6,6
16,6,6,6
17,6,6,6
18,6,6,6
19,0,6,3
20,6,6,6
