Iteration,Simulation #1,Simulation #2,Simulation #3
1,289,288,321
2,542,655,688
3,583,687,850
4,952,987,873
5,1162,1137,1212
6,1497,1499,1715
7,1995,1963,1953
8,2166,2367,2226
9,2428,2587,2499
10,2678,2610,2674
11,2875,2888,2697
12,3132,2999,2853
13,3336,3153,3001
14,3622,3399,3164
15,3761,3673,3318
16,3988,4240,3539
17,4338,4605,3989
18,4522,4898,4277
19,4536,5121,4453
20,4722,5553,5020
