Iteration,Simulation #1,Simulation #2,Simulation #3
1,289,288,288
2,253,367,367
3,41,32,32
4,369,300,300
5,210,150,150
6,335,362,362
7,498,464,464
8,171,404,404
9,262,220,220
10,250,23,23
11,197,278,278
12,257,111,111
13,204,154,154
14,286,246,246
15,139,274,274
16,227,567,567
17,350,365,365
18,184,293,293
19,14,223,223
20,186,432,432
